Year,Industry Code,Industry Name,Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins
2013,233230,Manufacturing structures,carbon dioxide,"kg/2018 USD, purchaser price",0.299,0.0,0.299,3,3,1,4,1
2013,233230,Manufacturing structures,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,3,1,1,1
2013,233230,Manufacturing structures,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,3,1,3,1
2013,233230,Manufacturing structures,other GHGs,"kg CO2e/2018 USD, purchaser price",0.021,0.0,0.021,4,3,1,5,1
2013,233240,Power and communication structures,carbon dioxide,"kg/2018 USD, purchaser price",0.281,0.0,0.281,3,3,1,4,1
2013,233240,Power and communication structures,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,3,1,1,1
2013,233240,Power and communication structures,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,3,1,3,1
2013,233240,Power and communication structures,other GHGs,"kg CO2e/2018 USD, purchaser price",0.011,0.0,0.011,4,3,1,5,1
2013,233262,Educational and vocational structures,carbon dioxide,"kg/2018 USD, purchaser price",0.267,0.0,0.267,3,3,1,3,1
2013,233262,Educational and vocational structures,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,3,1,1,1
2013,233262,Educational and vocational structures,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,3,1,3,1
2013,233262,Educational and vocational structures,other GHGs,"kg CO2e/2018 USD, purchaser price",0.037,0.0,0.037,4,3,1,5,1
2013,2332A0,Office and commercial structures,carbon dioxide,"kg/2018 USD, purchaser price",0.295,0.0,0.295,3,3,1,4,1
2013,2332A0,Office and commercial structures,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,3,1,1,1
2013,2332A0,Office and commercial structures,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,3,1,3,1
2013,2332A0,Office and commercial structures,other GHGs,"kg CO2e/2018 USD, purchaser price",0.048,0.0,0.048,4,3,1,5,1
