Year,Industry Code,Industry Name,Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins
2014,325,Chemical products,carbon dioxide,"kg/2018 USD, purchaser price",0.41,0.043,0.454,4,2,1,4,1
2014,325,Chemical products,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.002,4,2,1,1,1
2014,325,Chemical products,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,2,1
2014,325,Chemical products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.013,0.0,0.013,2,2,1,2,1
2014,326,Plastics and rubber products,carbon dioxide,"kg/2018 USD, purchaser price",0.281,0.023,0.305,3,2,1,3,1
2014,326,Plastics and rubber products,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,1,1
2014,326,Plastics and rubber products,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,2,1
2014,326,Plastics and rubber products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.012,0.0,0.012,3,2,1,4,1
2014,327,Nonmetallic mineral products,carbon dioxide,"kg/2018 USD, purchaser price",0.848,0.02,0.867,3,2,1,2,1
2014,327,Nonmetallic mineral products,methane,"kg/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,1,1
2014,327,Nonmetallic mineral products,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2014,327,Nonmetallic mineral products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,3,2,1,4,1
2014,331,Primary metals,carbon dioxide,"kg/2018 USD, purchaser price",0.235,0.035,0.27,2,2,1,2,1
2014,331,Primary metals,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,1,1
2014,331,Primary metals,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2014,331,Primary metals,other GHGs,"kg CO2e/2018 USD, purchaser price",0.024,0.0,0.024,3,2,1,2,1
2014,332,Fabricated metal products,carbon dioxide,"kg/2018 USD, purchaser price",0.288,0.025,0.313,3,2,1,3,1
2014,332,Fabricated metal products,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,1,1
2014,332,Fabricated metal products,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2014,332,Fabricated metal products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.009,0.0,0.009,3,2,1,2,1
2014,333,Machinery,carbon dioxide,"kg/2018 USD, purchaser price",0.205,0.026,0.231,3,2,1,3,1
2014,333,Machinery,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,1,1
2014,333,Machinery,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2014,333,Machinery,other GHGs,"kg CO2e/2018 USD, purchaser price",0.035,0.0,0.035,4,2,1,5,1
2014,334,Computer and electronic products,carbon dioxide,"kg/2018 USD, purchaser price",0.075,0.004,0.079,3,2,1,3,1
2014,334,Computer and electronic products,methane,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,1,1
2014,334,Computer and electronic products,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,2,1
2014,334,Computer and electronic products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.016,0.0,0.016,2,2,1,1,1
2014,335,"Electrical equipment, appliances, and components",carbon dioxide,"kg/2018 USD, purchaser price",0.211,0.014,0.225,3,2,1,3,1
2014,335,"Electrical equipment, appliances, and components",methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,1,1
2014,335,"Electrical equipment, appliances, and components",nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2014,335,"Electrical equipment, appliances, and components",other GHGs,"kg CO2e/2018 USD, purchaser price",0.011,0.0,0.011,3,2,1,3,1
2014,3361MV,"Motor vehicles, bodies and trailers, and parts",carbon dioxide,"kg/2018 USD, purchaser price",0.21,0.019,0.229,3,2,1,3,1
2014,3361MV,"Motor vehicles, bodies and trailers, and parts",methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,1,1
2014,3361MV,"Motor vehicles, bodies and trailers, and parts",nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2014,3361MV,"Motor vehicles, bodies and trailers, and parts",other GHGs,"kg CO2e/2018 USD, purchaser price",0.02,0.0,0.02,4,2,1,4,1
2014,3364OT,Other transportation equipment,carbon dioxide,"kg/2018 USD, purchaser price",0.117,0.013,0.13,3,2,1,3,1
2014,3364OT,Other transportation equipment,methane,"kg/2018 USD, purchaser price",0.0,0.0,0.001,4,2,1,1,1
2014,3364OT,Other transportation equipment,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2014,3364OT,Other transportation equipment,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0.0,0.005,3,2,1,3,1
2014,337,Furniture and related products,carbon dioxide,"kg/2018 USD, purchaser price",0.214,0.046,0.26,3,2,1,3,1
2014,337,Furniture and related products,methane,"kg/2018 USD, purchaser price",0.001,0.001,0.001,4,2,1,1,1
2014,337,Furniture and related products,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2014,337,Furniture and related products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.02,0.0,0.02,4,2,1,4,1
2014,339,Miscellaneous manufacturing,carbon dioxide,"kg/2018 USD, purchaser price",0.182,0.019,0.201,3,2,1,3,1
2014,339,Miscellaneous manufacturing,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,1,1
2014,339,Miscellaneous manufacturing,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2014,339,Miscellaneous manufacturing,other GHGs,"kg CO2e/2018 USD, purchaser price",0.006,0.0,0.006,3,2,1,3,1
2014,42,Wholesale trade,carbon dioxide,"kg/2018 USD, purchaser price",0.128,0.0,0.128,3,2,1,3,1
2014,42,Wholesale trade,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,3,2,1,1,1
2014,42,Wholesale trade,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,3,1
2014,42,Wholesale trade,other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0.0,0.003,4,2,1,4,1
2014,441,Motor vehicle and parts dealers,carbon dioxide,"kg/2018 USD, purchaser price",0.126,0.0,0.126,3,2,1,3,1
2014,441,Motor vehicle and parts dealers,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,3,2,1,1,1
2014,441,Motor vehicle and parts dealers,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,3,1
2014,441,Motor vehicle and parts dealers,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,4,1
2014,445,Food and beverage stores,carbon dioxide,"kg/2018 USD, purchaser price",0.234,0.0,0.234,2,2,1,3,1
2014,445,Food and beverage stores,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,1,1
2014,445,Food and beverage stores,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,4,1
2014,445,Food and beverage stores,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,4,2,1,4,1
2014,452,General merchandise stores,carbon dioxide,"kg/2018 USD, purchaser price",0.174,0.0,0.174,3,2,1,3,1
2014,452,General merchandise stores,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,3,2,1,1,1
2014,452,General merchandise stores,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,3,1
2014,452,General merchandise stores,other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0.0,0.003,4,2,1,4,1
2014,481,Air transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.847,0.0,0.847,4,2,1,1,1
2014,481,Air transportation,methane,"kg/2018 USD, purchaser price",0.003,0.0,0.003,4,2,1,1,1
2014,481,Air transportation,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,4,1
2014,481,Air transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,4,1
2014,482,Rail transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.61,0.0,0.61,4,2,1,4,1
2014,482,Rail transportation,methane,"kg/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,1,1
2014,482,Rail transportation,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,4,1
2014,482,Rail transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,4,2,1,4,1
2014,483,Water transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.499,0.0,0.499,4,2,1,3,1
2014,483,Water transportation,methane,"kg/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,1,1
2014,483,Water transportation,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,4,1
2014,483,Water transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.047,0.0,0.047,4,2,1,5,1
2014,484,Truck transportation,carbon dioxide,"kg/2018 USD, purchaser price",1.308,0.0,1.308,4,2,1,4,1
2014,484,Truck transportation,methane,"kg/2018 USD, purchaser price",0.003,0.0,0.003,4,2,1,1,1
